Y,pxR,pxG,pxB
2.224648093841642194e+01,4.212645322076590815e-01,4.841464985806607779e-01,5.379923167418372287e-01
2.227595307917888334e+01,4.215318408245488646e-01,4.844413081499784335e-01,5.384129573374051292e-01
2.230542521994134830e+01,4.217989652796520494e-01,4.847359163533285775e-01,5.388332683151487723e-01
2.233489736070381326e+01,4.220659059429384130e-01,4.850303235877385655e-01,5.392532504477584032e-01
2.236436950146627467e+01,4.223326631831475497e-01,4.853245302489422319e-01,5.396729045049104556e-01
2.239384164222873963e+01,4.225992373677943670e-01,4.856185367313866630e-01,5.400922312532850933e-01
2.242331378299120104e+01,4.228656288631746918e-01,4.859123434282370257e-01,5.405112314565810872e-01
2.245278592375366600e+01,4.231318380343714325e-01,4.862059507313833406e-01,5.409299058755332457e-01
2.248225806451612740e+01,4.233978652452595748e-01,4.864993590314454774e-01,5.413482552679274029e-01
2.251173020527859236e+01,4.236637108585115663e-01,4.867925687177793725e-01,5.417662803886177381e-01
2.254120234604105377e+01,4.239293752356040890e-01,4.870855801784824690e-01,5.421839819895408752e-01
2.257067448680351873e+01,4.241948587368224444e-01,4.873783938003996008e-01,5.426013608197333138e-01
2.260014662756598369e+01,4.244601617212658828e-01,4.876710099691282663e-01,5.430184176253461947e-01
2.262961876832844510e+01,4.247252845468539872e-01,4.879634290690247345e-01,5.434351531496608434e-01
2.265909090909091006e+01,4.249902275703313914e-01,4.882556514832090966e-01,5.438515681331045348e-01
2.268856304985337147e+01,4.252549911472738309e-01,4.885476775935712612e-01,5.442676633132654818e-01
2.271803519061583643e+01,4.255195756320921951e-01,4.888395077807762834e-01,5.446834394249082667e-01
2.274750733137829783e+01,4.257839813780393001e-01,4.891311424242695827e-01,5.450988971999888300e-01
2.277697947214076279e+01,4.260482087372143289e-01,4.894225819022828827e-01,5.455140373676699017e-01
2.280645161290322420e+01,4.263122580605681611e-01,4.897138265918390410e-01,5.459288606543347688e-01
2.283592375366568916e+01,4.265761296979090345e-01,4.900048768687581546e-01,5.463433677836034841e-01
2.286539589442815412e+01,4.268398239979073749e-01,4.902957331076621128e-01,5.467575594763468549e-01
2.289486803519061553e+01,4.271033413081005703e-01,4.905863956819805916e-01,5.471714364507005435e-01
2.292434017595307694e+01,4.273666819748991874e-01,4.908768649639558834e-01,5.475849994220808314e-01
2.295381231671554190e+01,4.276298463435908581e-01,4.911671413246485596e-01,5.479982491031980540e-01
2.298328445747800686e+01,4.278928347583468295e-01,4.914572251339421327e-01,5.484111862040709218e-01
2.301275659824046826e+01,4.281556475622247948e-01,4.917471167605488858e-01,5.488238114320411754e-01
2.304222873900293322e+01,4.284182850971762213e-01,4.920368165720147569e-01,5.492361254917877966e-01
2.307170087976539463e+01,4.286807477040501246e-01,4.923263249347242798e-01,5.496481290853401092e-01
2.310117302052785959e+01,4.289430357225977875e-01,4.926156422139060798e-01,5.500598229120926552e-01
2.313064516129032100e+01,4.292051494914787546e-01,4.929047687736377581e-01,5.504712076688186295e-01
2.316011730205278596e+01,4.294670893482649965e-01,4.931937049768508885e-01,5.508822840496837570e-01
2.318958944281524737e+01,4.297288556294452389e-01,4.934824511853361240e-01,5.512930527462595043e-01
2.321906158357771233e+01,4.299904486704314022e-01,4.937710077597484148e-01,5.517035144475372910e-01
2.324853372434017729e+01,4.302518688055618212e-01,4.940593750596113387e-01,5.521136698399413678e-01
2.327800586510263869e+01,4.305131163681067408e-01,4.943475534433229290e-01,5.525235196073425836e-01
2.330747800586510365e+01,4.307741916902733115e-01,4.946355432681597830e-01,5.529330644310714860e-01
2.333695014662756506e+01,4.310350951032100308e-01,4.949233448902823906e-01,5.533423049899313106e-01
2.336642228739003002e+01,4.312958269370112396e-01,4.952109586647400197e-01,5.537512419602117486e-01
2.339589442815249498e+01,4.315563875207220068e-01,4.954983849454753231e-01,5.541598760157009362e-01
2.342536656891495639e+01,4.318167771823426260e-01,4.957856240853291685e-01,5.545682078276994442e-01
2.345483870967741780e+01,4.320769962488342220e-01,4.960726764360455787e-01,5.549762380650323790e-01
2.348431085043988276e+01,4.323370450461214709e-01,4.963595423482764502e-01,5.553839673940624833e-01
2.351378299120234772e+01,4.325969238990988730e-01,4.966462221715862158e-01,5.557913964787027927e-01
2.354325513196480912e+01,4.328566331316344162e-01,4.969327162544563969e-01,5.561985259804288484e-01
2.357272727272727053e+01,4.331161730665745169e-01,4.972190249442907106e-01,5.566053565582919083e-01
2.360219941348973549e+01,4.333755440257482383e-01,4.975051485874191770e-01,5.570118888689307157e-01
2.363167155425220045e+01,4.336347463299718430e-01,4.977910875291032822e-01,5.574181235665841561e-01
2.366114369501466186e+01,4.338937802990534554e-01,4.980768421135399748e-01,5.578240613031034689e-01
2.369061583577712327e+01,4.341526462517967255e-01,4.983624126838669399e-01,5.582297027279643498e-01
2.372008797653958823e+01,4.344113445060065470e-01,4.986477995821664844e-01,5.586350484882792733e-01
2.374956011730205319e+01,4.346698753784925540e-01,4.989330031494704776e-01,5.590400992288091508e-01
2.377903225806451815e+01,4.349282391850727847e-01,4.992180237257647368e-01,5.594448555919757649e-01
2.380850439882697955e+01,4.351864362405796216e-01,4.995028616499933571e-01,5.598493182178728711e-01
2.383797653958944096e+01,4.354444668588630107e-01,4.997875172600633742e-01,5.602534877442789663e-01
