Y,pxR,pxG,pxB
2.462139716658524602e+00,1.466122118906492966e-01,1.745300151050421245e-01,1.786679005762114580e-01
2.491450903761602387e+00,1.474522116979714859e-01,1.755122352249810780e-01,1.797253806063726367e-01
2.520762090864679728e+00,1.482871152031320083e-01,1.764883981447893380e-01,1.807766415412276895e-01
2.550073277967757512e+00,1.491170120517302800e-01,1.774586110067261635e-01,1.818217916400875767e-01
2.579384465070835297e+00,1.499419893031025963e-01,1.784229778516820963e-01,1.828609360584444177e-01
2.608695652173913082e+00,1.507621315333974032e-01,1.793815997430764642e-01,1.838941769711247287e-01
2.638006839276990867e+00,1.515775209334318807e-01,1.803345748844729091e-01,1.849216136892311013e-01
2.667318026380068208e+00,1.523882374016523045e-01,1.812819987312967451e-01,1.859433427712502973e-01
2.696629213483145993e+00,1.531943586324911732e-01,1.822239640970121644e-01,1.869594581286806168e-01
2.725940400586223777e+00,1.539959602003985184e-01,1.831605612540902761e-01,1.879700511265041396e-01
2.755251587689301118e+00,1.547931156398022201e-01,1.840918780300772883e-01,1.889752106788090691e-01
2.784562774792378903e+00,1.555858965212364720e-01,1.850179998990497954e-01,1.899750233398447008e-01
2.813873961895456688e+00,1.563743725238590510e-01,1.859390100687247083e-01,1.909695733907728343e-01
2.843185148998534473e+00,1.571586115045662813e-01,1.868549895634739055e-01,1.919589429223621802e-01
2.872496336101612258e+00,1.579386795638966501e-01,1.877660173034749191e-01,1.929432119138544677e-01
2.901807523204689598e+00,1.587146411089049303e-01,1.886721701802168416e-01,1.939224583082172493e-01
2.931118710307767383e+00,1.594865589131751749e-01,1.895735231285626543e-01,1.948967580839833791e-01
2.960429897410845168e+00,1.602544941741282647e-01,1.904701491955587134e-01,1.958661853238649331e-01
2.989741084513922509e+00,1.610185065677740557e-01,1.913621196061688345e-01,1.968308122803158478e-01
3.019052271617000294e+00,1.617786543010438782e-01,1.922495038260988720e-01,1.977907094382090614e-01
3.048363458720078079e+00,1.625349941618339511e-01,1.931323696218675834e-01,1.987459455747799253e-01
3.077674645823155863e+00,1.632875815668801689e-01,1.940107831182701081e-01,1.996965878169821296e-01
