Y,pxR,pxG,pxB
1.772727272727272663e+01,3.740297748936400324e-01,4.321921454050939859e-01,4.885414488561408142e-01
1.775659824046920932e+01,3.743165655488810972e-01,4.325038567358401309e-01,4.888815508962057188e-01
1.778592375366568845e+01,3.746033562041221621e-01,4.328155680665862759e-01,4.892216529362706234e-01
1.781524926686217114e+01,3.748901468593632269e-01,4.331272793973323654e-01,4.895617549763355281e-01
1.784457478005865028e+01,3.751769375146042917e-01,4.334389907280784549e-01,4.899018570164004327e-01
1.787390029325513296e+01,3.754637281698453566e-01,4.337507020588245998e-01,4.902419590564653373e-01
1.790322580645161210e+01,3.757505188250864214e-01,4.340624133895707448e-01,4.905820610965302420e-01
1.793255131964809479e+01,3.760373094803274863e-01,4.343741247203168343e-01,4.909221631365951466e-01
1.796187683284457393e+01,3.763241001355684956e-01,4.346858360510629793e-01,4.912622651766600512e-01
1.799120234604105661e+01,3.766108907908096159e-01,4.349975473818090688e-01,4.916023672167249559e-01
1.802052785923753575e+01,3.768976814460506253e-01,4.353092587125552138e-01,4.919424692567898605e-01
1.804985337243401844e+01,3.771844721012917456e-01,4.356209700433013587e-01,4.922825712968547651e-01
1.807917888563049758e+01,3.774712627565327550e-01,4.359326813740474482e-01,4.926226733369196698e-01
1.810850439882698026e+01,3.777580534117738198e-01,4.362443927047935377e-01,4.929627753769845744e-01
1.813782991202345940e+01,3.780448440670148846e-01,4.365561040355396827e-01,4.933028774170494790e-01
1.816715542521994209e+01,3.783316347222559495e-01,4.368678153662858277e-01,4.936429794571143836e-01
1.819648093841642122e+01,3.786184253774970143e-01,4.371795266970319171e-01,4.939830814971792883e-01
1.822580645161290391e+01,3.789052160327380792e-01,4.374912380277780621e-01,4.943231835372441929e-01
1.825513196480938305e+01,3.791920066879791440e-01,4.378029493585241516e-01,4.946632855773090975e-01
1.828445747800586574e+01,3.794787973432202088e-01,4.381146606892702966e-01,4.950033876173740022e-01
1.831378299120234487e+01,3.797655879984612737e-01,4.384263720200163861e-01,4.953434896574389068e-01
1.834310850439882756e+01,3.800523786537023385e-01,4.387380833507625311e-01,4.956835916975038114e-01
1.837243401759530670e+01,3.803391693089434034e-01,4.390497946815086205e-01,4.960236937375687161e-01
1.840175953079178939e+01,3.806259599641844682e-01,4.393615060122547655e-01,4.963637957776336207e-01
1.843108504398826852e+01,3.809127506194255330e-01,4.396732173430008550e-01,4.967038978176985253e-01
1.846041055718475121e+01,3.811995412746665979e-01,4.399849286737470000e-01,4.970439998577634300e-01
1.848973607038123035e+01,3.814863319299076627e-01,4.402966400044930895e-01,4.973841018978283346e-01
1.851906158357771304e+01,3.817731225851487276e-01,4.406083513352392345e-01,4.977242039378932392e-01
1.854838709677419217e+01,3.820599132403897924e-01,4.409200626659853239e-01,4.980643059779581439e-01
1.857771260997067486e+01,3.823467038956308572e-01,4.412317739967314689e-01,4.984044080180230485e-01
1.860703812316715755e+01,3.826334945508719221e-01,4.415434853274776139e-01,4.987445100580879531e-01
1.863636363636363669e+01,3.829202852061129869e-01,4.418551966582237034e-01,4.990846120981528578e-01
1.866568914956011582e+01,3.832070758613539962e-01,4.421669079889697929e-01,4.994247141382177624e-01
1.869501466275659851e+01,3.834938665165951166e-01,4.424786193197159379e-01,4.997648161782826670e-01
1.872434017595308120e+01,3.837806571718361814e-01,4.427903306504620828e-01,5.001049182183475716e-01
1.875366568914956034e+01,3.840674478270772463e-01,4.431020419812081723e-01,5.004450202584125318e-01
1.878299120234603947e+01,3.843542384823182556e-01,4.434137533119542618e-01,5.007851222984773809e-01
1.881231671554252216e+01,3.846410291375593204e-01,4.437254646427004068e-01,5.011252243385423411e-01
1.884164222873900485e+01,3.849278197928004408e-01,4.440371759734465518e-01,5.014653263786071902e-01
1.887096774193548399e+01,3.852146104480414501e-01,4.443488873041926412e-01,5.018054284186721503e-01
1.890029325513196312e+01,3.855014011032825150e-01,4.446605986349387307e-01,5.021455304587369994e-01
1.892961876832844581e+01,3.857881917585235798e-01,4.449723099656848757e-01,5.024856324988019596e-01
1.895894428152492850e+01,3.860749824137646447e-01,4.452840212964310207e-01,5.028257345388668087e-01
1.898826979472140764e+01,3.863617730690057095e-01,4.455957326271771102e-01,5.031658365789317688e-01
1.901759530791788677e+01,3.866485637242467743e-01,4.459074439579231997e-01,5.035059386189966180e-01
1.904692082111436946e+01,3.869353543794878392e-01,4.462191552886693446e-01,5.038460406590615781e-01
1.907624633431085215e+01,3.872221450347289040e-01,4.465308666194154896e-01,5.041861426991264272e-01
1.910557184750733128e+01,3.875089356899699689e-01,4.468425779501615791e-01,5.045262447391913874e-01
1.913489736070381042e+01,3.877957263452109782e-01,4.471542892809076686e-01,5.048663467792562365e-01
1.916422287390029311e+01,3.880825170004520985e-01,4.474660006116538136e-01,5.052064488193211966e-01
1.919354838709677580e+01,3.883693076556931634e-01,4.477777119423999586e-01,5.055465508593860458e-01
1.922287390029325493e+01,3.886560983109342282e-01,4.480894232731460480e-01,5.058866528994510059e-01
1.925219941348973762e+01,3.889428889661752931e-01,4.484011346038921930e-01,5.062267549395158550e-01
1.928152492668621676e+01,3.892296796214163579e-01,4.487128459346382825e-01,5.065668569795808152e-01
1.931085043988269945e+01,3.895164702766574227e-01,4.490245572653844275e-01,5.069069590196456643e-01
1.934017595307917858e+01,3.898032609318984321e-01,4.493362685961305170e-01,5.072470610597106244e-01
