Distance1(cm),Distance2(cm),Image_Win1,Image_Win2,Score
50,70,FG_4_5_1.0_BG_4_15_1.0.png,FG_4_5_1.0_BG_4_15_1.0.png,0.2576523423194885
50,70,FG_4_5_1.0_BG_4_5_0.5.png,FG_4_5_1.0_BG_4_5_0.5.png,0.30654439330101013
50,70,FG_4_5_1.0_BG_4_5_1.0.png,FG_4_5_1.0_BG_4_5_1.0.png,0.2806682884693146
60,150,FG_2_50_0.5_BG_2_15_0.5.png,FG_2_50_0.5_BG_2_15_0.5.png,0.4024337828159332
60,150,FG_2_50_0.5_BG_2_15_1.0.png,FG_2_50_0.5_BG_2_15_1.0.png,0.38281959295272827
60,150,FG_2_50_0.5_BG_2_5_0.5.png,FG_2_50_0.5_BG_2_5_0.5.png,0.44864019751548767
60,150,FG_2_50_0.5_BG_2_5_1.0.png,FG_2_50_0.5_BG_2_5_1.0.png,0.4345012307167053
60,150,FG_2_50_0.5_BG_4_15_0.5.png,FG_2_50_0.5_BG_4_15_0.5.png,0.3906818926334381
60,150,FG_2_50_0.5_BG_4_15_1.0.png,FG_2_50_0.5_BG_4_15_1.0.png,0.3724692165851593
60,150,FG_2_50_0.5_BG_4_5_0.5.png,FG_2_50_0.5_BG_4_5_0.5.png,0.4366317391395569
60,150,FG_2_50_0.5_BG_4_5_1.0.png,FG_2_50_0.5_BG_4_5_1.0.png,0.42599356174468994
60,150,FG_2_50_1.0_BG_2_15_0.5.png,FG_2_50_1.0_BG_2_15_0.5.png,0.40464285016059875
60,150,FG_2_50_1.0_BG_2_15_1.0.png,FG_2_50_1.0_BG_2_15_1.0.png,0.38161352276802063
60,150,FG_2_50_1.0_BG_2_5_0.5.png,FG_2_50_1.0_BG_2_5_0.5.png,0.45833027362823486
60,150,FG_2_50_1.0_BG_2_5_1.0.png,FG_2_50_1.0_BG_2_5_1.0.png,0.4431655704975128
60,150,FG_2_50_1.0_BG_4_15_0.5.png,FG_2_50_1.0_BG_4_15_0.5.png,0.40382006764411926
60,150,FG_2_50_1.0_BG_4_15_1.0.png,FG_2_50_1.0_BG_4_15_1.0.png,0.38846004009246826
60,150,FG_2_50_1.0_BG_4_5_0.5.png,FG_2_50_1.0_BG_4_5_0.5.png,0.4461289644241333
60,150,FG_2_50_1.0_BG_4_5_1.0.png,FG_2_50_1.0_BG_4_5_1.0.png,0.4384148120880127
60,150,FG_2_5_0.5_BG_2_15_0.5.png,FG_2_5_0.5_BG_2_15_0.5.png,0.2695993483066559
60,150,FG_2_5_0.5_BG_2_15_1.0.png,FG_2_5_0.5_BG_2_15_1.0.png,0.2602948844432831
60,150,FG_2_5_0.5_BG_2_5_0.5.png,FG_2_5_0.5_BG_2_5_0.5.png,0.34437718987464905
60,150,FG_2_5_0.5_BG_2_5_1.0.png,FG_2_5_0.5_BG_2_5_1.0.png,0.310087114572525
60,150,FG_2_5_0.5_BG_4_15_0.5.png,FG_2_5_0.5_BG_4_15_0.5.png,0.26305779814720154
60,150,FG_2_5_0.5_BG_4_15_1.0.png,FG_2_5_0.5_BG_4_15_1.0.png,0.25344106554985046
60,150,FG_2_5_0.5_BG_4_5_0.5.png,FG_2_5_0.5_BG_4_5_0.5.png,0.31594809889793396
60,150,FG_2_5_0.5_BG_4_5_1.0.png,FG_2_5_0.5_BG_4_5_1.0.png,0.284170925617218
60,150,FG_2_5_1.0_BG_2_15_0.5.png,FG_2_5_1.0_BG_2_15_0.5.png,0.27381789684295654
60,150,FG_2_5_1.0_BG_2_15_1.0.png,FG_2_5_1.0_BG_2_15_1.0.png,0.26423290371894836
60,150,FG_2_5_1.0_BG_2_5_0.5.png,FG_2_5_1.0_BG_2_5_0.5.png,0.34832990169525146
60,150,FG_2_5_1.0_BG_2_5_1.0.png,FG_2_5_1.0_BG_2_5_1.0.png,0.3234119415283203
60,150,FG_2_5_1.0_BG_4_15_0.5.png,FG_2_5_1.0_BG_4_15_0.5.png,0.269842267036438
60,150,FG_2_5_1.0_BG_4_15_1.0.png,FG_2_5_1.0_BG_4_15_1.0.png,0.2580639123916626
60,150,FG_2_5_1.0_BG_4_5_0.5.png,FG_2_5_1.0_BG_4_5_0.5.png,0.3322967290878296
60,150,FG_2_5_1.0_BG_4_5_1.0.png,FG_2_5_1.0_BG_4_5_1.0.png,0.3008490800857544
60,150,FG_4_50_0.5_BG_2_15_0.5.png,FG_4_50_0.5_BG_2_15_0.5.png,0.3902069926261902
60,150,FG_4_50_0.5_BG_2_15_1.0.png,FG_4_50_0.5_BG_2_15_1.0.png,0.367612361907959
60,150,FG_4_50_0.5_BG_2_5_0.5.png,FG_4_50_0.5_BG_2_5_0.5.png,0.44660961627960205
60,150,FG_4_50_0.5_BG_2_5_1.0.png,FG_4_50_0.5_BG_2_5_1.0.png,0.428605318069458
60,150,FG_4_50_0.5_BG_4_15_0.5.png,FG_4_50_0.5_BG_4_15_0.5.png,0.38933151960372925
60,150,FG_4_50_0.5_BG_4_15_1.0.png,FG_4_50_0.5_BG_4_15_1.0.png,0.37003862857818604
60,150,FG_4_50_0.5_BG_4_5_0.5.png,FG_4_50_0.5_BG_4_5_0.5.png,0.4324376583099365
